match_id,date,team_1,team_2,winner,result,venue,city,toss_winner,toss_decision,by_runs,by_wickets
1339614,2023-04-14,Pakistan,New Zealand,Pakistan,,"Gaddafi Stadium, Lahore",Lahore,Pakistan,bat,88.0,
1339615,2023-04-15,Pakistan,New Zealand,Pakistan,,"Gaddafi Stadium, Lahore",Lahore,Pakistan,bat,38.0,
1339616,2023-04-17,New Zealand,Pakistan,New Zealand,,"Gaddafi Stadium, Lahore",Lahore,New Zealand,bat,4.0,
1367731,2023-05-07,Malta,Gibraltar,Malta,,Europa Sports Complex,Gibraltar,Malta,bat,1.0,
1370782,2023-05-18,Norway,Denmark,Denmark,,"Svanholm Park, Brondby",Brondby,Norway,bat,,9.0
1370783,2023-05-18,Denmark,Finland,Denmark,,"Svanholm Park, Brondby",Brondby,Denmark,bat,72.0,
1370787,2023-05-19,Finland,Denmark,Denmark,,"Svanholm Park, Brondby",Brondby,Finland,bat,,8.0
1370790,2023-05-20,Finland,Norway,Norway,,"Solvangs Park, Glostrup",Copenhagen,Finland,bat,,7.0
1379578,2023-06-11,Rwanda,Uganda,Uganda,,"Gymkhana Club Ground, Nairobi",Nairobi,Rwanda,bat,,8.0
1379583,2023-06-14,Uganda,Botswana,Uganda,,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,bat,64.0,
1379586,2023-06-13,Rwanda,Botswana,Rwanda,,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,field,27.0,
1379584,2023-06-15,Rwanda,Uganda,Uganda,,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,field,,7.0
1379575,2023-06-17,Botswana,Uganda,Uganda,,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,,7.0
1379579,2023-06-18,Botswana,Rwanda,Rwanda,,"Gymkhana Club Ground, Nairobi",Nairobi,Botswana,bat,,7.0
1379587,2023-06-19,Uganda,Rwanda,Uganda,,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,bat,94.0,
1381453,2023-06-23,Serbia,Turkey,Serbia,,"National Sports Academy, Sofia",Sofia,Serbia,bat,70.0,
1381456,2023-06-24,Croatia,Turkey,Turkey,,"National Sports Academy, Sofia",Sofia,Croatia,bat,,8.0
1381457,2023-06-24,Croatia,Serbia,Serbia,,"National Sports Academy, Sofia",Sofia,Croatia,bat,,9.0
1289045,2021-11-17,Tanzania,Kenya,Tanzania,,Integrated Polytechnic Regional Centre,Kigali City,Tanzania,bat,49.0,
1343768,2022-12-01,Sierra Leone,Tanzania,Tanzania,,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,field,,9.0
1343782,2022-12-05,Cameroon,Nigeria,Nigeria,,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,field,17.0,
1343783,2022-12-05,Ghana,Sierra Leone,Sierra Leone,,Integrated Polytechnic Regional Centre,Kigali City,Sierra Leone,field,18.0,
1343788,2022-12-08,Ghana,Gambia,Ghana,,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,bat,138.0,
1343791,2022-12-08,Mozambique,Gambia,Mozambique,,Integrated Polytechnic Regional Centre,Kigali City,Mozambique,bat,40.0,
1349131,2022-12-16,Rwanda,Tanzania,Rwanda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,1.0,
1355720,2023-03-27,Bangladesh,Ireland,Bangladesh,,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Ireland,field,22.0,
1381451,2023-06-29,Austria,Germany,Germany,,"Sportpark Het Schootsveld, Deventer",Deventer,Germany,field,,6.0
1381452,2023-06-30,Austria,Germany,Germany,,"Sportpark Het Schootsveld, Deventer",Deventer,Germany,field,,8.0
1384582,2023-07-10,France,Malta,France,,Marsa Sports Club,Marsa,Malta,field,9.0,
1384583,2023-07-10,Malta,France,Malta,,Marsa Sports Club,Marsa,Malta,bat,4.0,
