match_id,date,team_1,team_2,elo_team_1,elo_team_2,elo_diff
1462927,2024-12-07,Nigeria,Botswana,1564.3077885815783,1449.768474609436,114.53931397214228
1462883,2024-12-07,Cayman Islands,Panama,1452.0085692576122,1447.996562763094,4.012006494518118
1462880,2024-12-07,Mexico,Brazil,1494.5582036280175,1498.9702952234115,-4.412091595394031
1462881,2024-12-07,Argentina,Belize,1469.8642829703556,1469.0776074801483,0.7866754902072444
1462882,2024-12-07,Bermuda,Suriname,1563.8383254663224,1488.183499192217,75.65482627410552
1462914,2024-12-08,Rwanda,Botswana,1398.1072785087665,1462.95072267706,-64.84344416829344
1462884,2024-12-08,Panama,Bermuda,1438.1120324600695,1571.6945804884438,-133.58254802837428
1462885,2024-12-08,Bahamas,Argentina,1469.6580550440424,1479.8416406683398,-10.183585624297393
1462886,2024-12-08,Suriname,Brazil,1480.3272441700956,1488.8433118451287,-8.516067675033128
1462887,2024-12-08,Cayman Islands,Belize,1461.8930995606368,1459.1002497821642,2.7928497784726005
1462925,2024-12-08,Nigeria,Uganda,1551.1255405139543,1718.963577994563,-167.8380374806086
1462922,2024-12-09,Nigeria,Rwanda,1545.6125830505218,1389.9522508256157,155.66033222490614
1462928,2024-12-09,Uganda,Botswana,1724.4765354579954,1471.1057503602108,253.37078509778462
1462890,2024-12-10,Mexico,Bermuda,1504.6851870063003,1578.0286501213604,-73.3434631150601
1462891,2024-12-10,Panama,Argentina,1431.7779628271528,1469.5486174217403,-37.77065459458754
1432211,2024-12-10,South Africa,Pakistan,1576.7550646129864,1580.6443144906018,-3.8892498776153843
1462889,2024-12-10,Bahamas,Belize,1479.9510782906418,1449.1806327291404,30.770445561501447
1462888,2024-12-10,Cayman Islands,Suriname,1471.8127166136605,1470.5723072251287,1.2404093885318161
1462892,2024-12-11,Mexico,Cayman Islands,1496.7653732122658,1461.777014913257,34.98835829900872
1462918,2024-12-11,Rwanda,Botswana,1404.1550047808007,1467.331872939357,-63.17686815855632
1462917,2024-12-11,Uganda,Nigeria,1728.2504128788491,1531.4098290953368,196.84058378351233
1462894,2024-12-11,Bermuda,Brazil,1585.948463915395,1498.5982487900956,87.35021512529943
1462893,2024-12-11,Bahamas,Panama,1489.0677419991605,1422.8608270874915,66.20691491166895
1462895,2024-12-11,Suriname,Argentina,1480.6080089255322,1478.4657531614016,2.1422557641305957
1462920,2024-12-12,Botswana,Nigeria,1455.5332764318528,1526.5380600929145,-71.00478366106177
1462896,2024-12-12,Panama,Brazil,1414.743679795514,1491.0607238256637,-76.31704403014965
1462923,2024-12-12,Uganda,Rwanda,1733.1221818812714,1415.953601288305,317.16858059296646
1462897,2024-12-12,Suriname,Mexico,1470.5463506295655,1485.7617178458768,-15.215367216311279
1462898,2024-12-12,Bahamas,Cayman Islands,1497.184889291138,1472.780670279646,24.404219011491932
1462899,2024-12-12,Bermuda,Belize,1593.485988879827,1440.0639690206217,153.4220198592052
1432212,2024-12-13,Pakistan,South Africa,1570.532377556251,1586.8670015473372,-16.33462399108612
1462930,2024-12-13,Uganda,Botswana,1735.8970431598846,1447.5489734406706,288.348069719214
1463652,2024-12-13,Bahrain,United Arab Emirates,1516.9410568027263,1615.1642869102918,-98.22323010756554
1463653,2024-12-13,Saudi Arabia,Kuwait,1514.553737038558,1571.533975292861,-56.980238254303
1462913,2024-12-13,Nigeria,Rwanda,1534.5223630840967,1413.1787400096919,121.34362307440483
1462900,2024-12-14,Cayman Islands,Brazil,1483.4819272586763,1498.8988020744616,-15.416874815785377
1462901,2024-12-14,Bahamas,Suriname,1486.4836323121078,1460.9840043512518,25.49962796085606
1462902,2024-12-14,Panama,Belize,1406.905601546716,1434.2135351611323,-27.307933614416243
1463655,2024-12-14,Oman,Qatar,1513.1978263820847,1548.7879018200435,-35.59007543795883
1462932,2024-12-14,Nigeria,Uganda,1541.165216143835,1739.0926457802686,-197.92742963643354
1462903,2024-12-14,Argentina,Mexico,1488.5274114573683,1495.3240641241905,-6.796652666822183
1463654,2024-12-14,Bahrain,Kuwait,1509.6951631178938,1579.9084994807502,-70.21333636285635
1463656,2024-12-15,United Arab Emirates,Oman,1622.4101805951243,1524.2186231066735,98.19155748845083
1463657,2024-12-15,Qatar,Saudi Arabia,1537.7671050954548,1506.1792128506688,31.587892244785962
1462904,2024-12-15,Brazil,Belize,1488.455359754512,1443.4291641968002,45.026195557711844
1462905,2024-12-15,Cayman Islands,Argentina,1493.9253695786258,1498.7230098960463,-4.797640317420473
1462906,2024-12-15,Bermuda,Bahamas,1599.3364227393163,1495.7510090124856,103.58541372683067
1462907,2024-12-15,Panama,Mexico,1397.6899725110482,1485.1284656855125,-87.43849317446438
1433383,2024-12-15,Bangladesh,West Indies,1520.4927399431365,1589.5600783806194,-69.06733843748293
1463658,2024-12-16,Saudi Arabia,Bahrain,1517.0858886701983,1521.6889959872217,-4.603107317023387
1463659,2024-12-16,United Arab Emirates,Kuwait,1629.6569167657244,1567.9146666114223,61.742250154302155
1462908,2024-12-16,Bermuda,Cayman Islands,1606.4403018393566,1504.063447990896,102.37685384846054
1462909,2024-12-16,Bahamas,Mexico,1488.6471299124453,1472.6636040242465,15.983525888198756
1462910,2024-12-16,Belize,Suriname,1454.7179154550556,1451.716627650874,3.0012878041816293
1462911,2024-12-16,Argentina,Brazil,1488.584931483776,1477.1666084962567,11.418322987519332
1433384,2024-12-17,Bangladesh,West Indies,1532.454878866604,1577.5979394571518,-45.14306059054775
1463661,2024-12-17,Oman,Bahrain,1516.9718869360734,1531.5565156599748,-14.58462872390146
1463660,2024-12-17,Qatar,Kuwait,1526.8604292759253,1559.6732777880832,-32.81284851215787
1463663,2024-12-18,United Arab Emirates,Qatar,1637.8983055890635,1517.802061017174,120.09624457188943
1463662,2024-12-18,Oman,Saudi Arabia,1527.3914198973357,1507.2183689974452,20.17305089989054
1463664,2024-12-19,Saudi Arabia,United Arab Emirates,1517.7983444695512,1644.57305303201,-126.77470856245873
1433385,2024-12-19,Bangladesh,West Indies,1543.7469377612654,1566.3058805624905,-22.558942801225157
1463666,2024-12-20,Oman,Kuwait,1516.8114444252296,1568.7316460468344,-51.92020162160475
1463665,2024-12-20,Bahrain,Qatar,1521.1369826987125,1511.1273135742276,10.009669124484844
1463667,2024-12-21,United Arab Emirates,Kuwait,1631.077940006045,1577.248288141878,53.82965186416709
1443543,2024-12-28,New Zealand,Sri Lanka,1620.4830787448875,1523.8819242528994,96.60115449198815
1443544,2024-12-30,New Zealand,Sri Lanka,1627.7721734902912,1516.5928295074957,111.17934398279544
1443545,2025-01-02,Sri Lanka,New Zealand,1509.6878975905367,1634.67710540725,-124.98920781671336
1439899,2025-01-22,England,India,1639.5855356888762,1767.5937164360112,-128.00818074713493
1439900,2025-01-25,England,India,1633.1117752632126,1774.0674768616748,-140.95570159846216
1439901,2025-01-28,England,India,1626.9599569675715,1780.2192951573159,-153.2593381897443
1439902,2025-01-31,India,England,1766.0736058746654,1641.105646250222,124.96795962444344
1439903,2025-02-02,India,England,1772.6242254532845,1634.555026671603,138.0691987816815
1470186,2025-02-03,Hungary,Malta,1462.7234661911323,1427.8821135291043,34.84135266202793
1470187,2025-02-03,Malta,Austria,1418.8815801770281,1533.1748979783947,-114.29331780136658
1470188,2025-02-04,Hungary,Austria,1471.7239995432085,1539.9990146778453,-68.27501513463676
1470189,2025-02-04,Malta,Hungary,1412.0574634775776,1463.6642017770987,-51.60673829952111
1470190,2025-02-05,Malta,Austria,1403.5319965242575,1548.058812443955,-144.52681591969758
